user_id,email,signup_date,country,is_premium
1,victor.ferreira1@mail.com,2024-05-31,IT,false
2,rosa.JENSEN2@example.org,2022-07-24,CA,false
3,dania.jensen3@books.io,2024-07-17,IT,false
4,quincy.okafor4@mail.com,2020-08-09,IT,false
5,uma.petrov5@shop.net,2022-06-17,IT,false
6,noah.nakamura6@mail.com,2022-03-14,AU,false
7,olga.XU7@books.io,2015-09-30,CL,false
8,jonas.okafor8@shop.net,2016-10-04,IT,false
9,xiomara.gupta9@mail.com,2024-03-24,IT,false
10,quincy.wagner10@books.io,2015-09-30,CA,false
11,farid.nakamura11@example.org,2023-12-06,IT,false
12,Eero.ueda12@example.org,2023-01-21,IT,false
13,daniel.quiroga13@books.io,2024-09-26,IT,false
14,carla.zhang14@example.org,2017-02-26,DE,false
15,daniel.ivanov15@books.io,2015-01-22,SE,false
16,luca.silva16@example.org,2018-06-05,IT,false
17,noah.jensen17@books.io,2019-02-18,IT,true
18,Fatima.larsen18@example.org,2015-07-16,CL,false
19,kiri.rossi19@books.io,2024-01-11,FR,true
20,fatima.espinoza20@books.io,2017-09-12,JP,false
21,jonas.zhang21@shop.net,2024-07-05,IT,false
22,eero.okafor22@books.io,2020-10-01,US,false
23,Ben.gupta23@mail.com,2022-03-14,IT,false
24,alice.davidson24@books.io,2019-02-13,IT,false
25,noah.larsen25@shop.net,2020-04-12,BR,false
26,arturo.okafor26@books.io,2024-08-02,IT,false
27,Arturo.tanaka27@shop.net,2018-09-20,IT,false
28,Wei.xu28@shop.net,2021-09-20,IT,false
29,wei.wagner29@books.io,2017-09-04,IT,false
30,eero.jensen30@books.io,2016-11-25,IN,false
31,bianca.gupta31@example.org,2021-08-30,IN,false
32,bianca.gupta32@shop.net,2022-09-20,IT,false
33,hiro.tanaka33@books.io,2023-04-09,IT,true
34,Jonas.ferreira34@example.org,2022-01-30,US,false
35,tara.FERREIRA35@books.io,2015-09-26,IT,false
36,victor.jensen36@mail.com,2024-03-11,IT,false
37,pablo.chen37@mail.com,2016-12-04,FR,false
38,quincy.gupta38@shop.net,2018-08-21,IT,false
39,Arturo.espinoza39@example.org,2020-07-20,IT,false
40,yusuf.zhang40@books.io,2023-11-26,CL,true
41,Zara.tanaka41@shop.net,2016-01-14,ES,false
42,elena.espinoza42@mail.com,2022-10-05,SE,true
43,Pablo.brooks43@mail.com,2018-08-01,IT,false
44,elena.ferreira44@shop.net,2016-03-15,US,false
45,elena.nakamura45@books.io,2020-01-11,IT,false
46,farid.silva46@example.org,2023-09-24,IT,false
47,Greta.wagner47@books.io,2019-01-28,IT,false
48,alice.alvarez48@shop.net,2023-04-30,NL,false
49,jonas.zhang49@mail.com,2021-05-08,AR,false
50,Farid.zhang50@shop.net,2020-07-08,IT,false
51,noah.quiroga51@shop.net,2018-12-19,SE,false
52,xiomara.zhang52@books.io,2022-04-10,IT,false
53,ines.petrov53@mail.com,2018-05-26,PL,false
54,tara.nakamura54@shop.net,2017-04-06,JP,false
55,pablo.rossi55@example.org,2022-09-21,NL,false
56,elena.espinoza56@books.io,2016-08-28,JP,false
57,hiro.tanaka57@books.io,2024-02-26,IT,false
58,noah.yamamoto58@books.io,2016-08-16,JP,false
59,ben.nakamura59@shop.net,2017-07-17,IT,false
60,elena.tanaka60@books.io,2019-07-21,IN,false
61,Elena.moreno61@shop.net,2023-01-25,IT,false
62,ines.chen62@shop.net,2019-05-04,SE,false
63,elena.alvarez63@shop.net,2021-01-21,ES,false
64,Victor.brooks64@example.org,2015-12-29,IT,false
65,cyrus.vargas65@books.io,2017-12-06,,false
66,pablo.rossi66@books.io,2021-06-29,IT,false
67,Ben.espinoza67@mail.com,2019-04-20,IT,false
68,ines.hassan68@mail.com,2015-05-31,IT,false
69,quincy.rossi69@books.io,2020-11-30,AU,false
70,kiri.wagner70@books.io,2021-12-14,MX,false
71,jonas.brooks71@shop.net,2019-08-26,,false
72,kiri.quiroga72@shop.net,2016-01-07,IT,false
73,sven.hassan73@books.io,2016-12-24,CL,true
74,farid.jensen74@shop.net,2015-03-20,US,false
75,eero.ferreira75@shop.net,2024-07-09,PL,false
76,Quincy.hassan76@mail.com,2017-06-30,IT,false
77,dania.petrov77@example.org,2017-11-03,CL,false
78,pablo.quiroga78@shop.net,2024-05-13,JP,false
79,hiro.quiroga79@books.io,2022-12-28,CA,false
80,zara.wagner80@books.io,2023-10-06,GB,false
81,victor.petrov81@example.org,2024-03-04,GB,false
82,alice.espinoza82@example.org,2024-03-19,IT,false
83,quincy.quiroga83@example.org,2024-01-27,US,false
84,wei.xu84@example.org,2019-05-31,SE,false
85,elena.rossi85@shop.net,2021-06-27,,false
86,Carla.okafor86@mail.com,2020-05-07,NL,false
87,jonas.silva87@shop.net,2015-06-06,BR,false
88,xiomara.rossi88@books.io,2024-02-20,ES,true
89,jonas.xu89@example.org,2018-06-15,IT,false
90,zara.alvarez90@mail.com,2022-03-31,IT,false
91,eero.larsen91@mail.com,2021-07-06,CL,false
92,maya.chen92@books.io,2022-02-16,KR,false
93,alice.alvarez93@shop.net,2021-05-17,NL,true
94,elena.quiroga94@mail.com,2018-08-24,IT,false
95,rosa.moreno95@example.org,2022-06-17,GB,false
96,bianca.ferreira96@example.org,2022-08-14,IT,false
97,alice.petrov97@mail.com,2020-03-21,IT,false
98,yusuf.ueda98@mail.com,2017-03-12,DE,true
